date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,3661.TW,世芯-KY,satellite,3025.0,4.49,10.81,-3.97,-10.1,1763626,1891361,0.93,3021.25,3256.5,3275.54,-19.01,0.12,5,0,NONE,開始轉強,還在觀察,,,,,,,,,,,,
2026-04-13,3661.TW,世芯-KY,satellite,3090.0,2.15,14.23,0.82,-6.79,1857092,1910207,0.97,3010.0,3247.17,3272.46,-17.27,2.66,5,0,NONE,開始轉強,還在觀察,,,,,,,,,,,,
2026-04-14,3661.TW,世芯-KY,satellite,3200.0,3.56,18.3,5.26,0.31,1932649,1921332,1.01,3010.5,3238.25,3270.42,-14.32,6.29,4,2,NONE,開始轉強,還在觀察,midlong_core,,,,,,,,,,,
2026-04-15,3661.TW,世芯-KY,satellite,3210.0,0.31,12.24,16.73,2.72,1640940,1948555,0.84,3014.75,3230.42,3267.88,-14.06,6.48,5,0,NONE,開始轉強,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-16,3661.TW,世芯-KY,satellite,3475.0,8.26,20.03,39.84,8.93,4432553,2117355,2.09,3029.0,3228.33,3268.75,-6.96,14.72,9,4,ACCEL,進攻優勢區,轉強速度有出來,midlong_core,6.0,疑似炒作風險高,,,,,,,,,
2026-04-17,3661.TW,世芯-KY,satellite,3515.0,1.15,16.2,28.75,6.52,2844865,2163843,1.31,3039.75,3227.42,3272.42,-5.89,15.63,7,2,ACCEL,偏強可追蹤,轉強速度有出來,midlong_core,5.0,投機偏高,,,,,,,,,
2026-04-20,3661.TW,世芯-KY,satellite,3625.0,3.13,17.31,34.01,12.58,2734748,2215706,1.23,3060.0,3227.33,3276.96,-2.95,18.46,8,3,ACCEL,進攻優勢區,轉強速度有出來,midlong_core,5.0,投機偏高,,,,,,,,,
2026-04-21,3661.TW,世芯-KY,satellite,3985.0,9.93,24.53,47.32,18.07,4105595,2236462,1.84,3090.5,3232.5,3284.38,0.0,28.94,10,6,ACCEL,高風險追價區,有點過熱，別硬追,midlong_core,7.0,疑似炒作風險高,,,,,,,,,
2026-04-22,3661.TW,世芯-KY,satellite,4065.0,2.01,26.64,42.13,27.43,3171566,2324423,1.36,3134.25,3242.58,3292.54,0.0,29.7,8,5,ACCEL,進攻優勢區,轉強速度有出來,midlong_core,7.0,疑似炒作風險高,4.42,活潑,,,,,,,
2026-04-23,3661.TW,世芯-KY,satellite,3980.0,-2.09,14.53,37.48,27.97,3783077,2450397,1.54,3177.75,3253.58,3298.75,-2.09,25.25,10,3,ACCEL,進攻優勢區,轉強速度有出來,midlong_core,2.0,正常,4.73,活潑,,,,,,,
2026-04-24,3661.TW,世芯-KY,satellite,4215.0,5.9,19.91,39.34,33.81,3040979,2553793,1.19,3231.0,3268.17,3305.92,0.0,30.45,7,7,NONE,高風險追價區,有點過熱，別硬追,midlong_core,9.0,疑似炒作風險高,4.85,活潑,高檔脫離型,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,走勢與訊號不匹配",2.0,1.0,3.0,3.0
2026-04-27,3661.TW,世芯-KY,satellite,4160.0,-1.3,14.76,34.63,35.73,2678574,2584489,1.04,3285.75,3280.25,3313.75,-1.3,26.61,8,5,TREND,進攻優勢區,中段延續中,midlong_core,6.0,疑似炒作風險高,5.23,活潑,高檔脫離型,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2.0,1.0,3.0,1.0
