date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag
2026-05-06,3044.TW,健鼎,satellite,quality_value,486.0,0.31,7.28,9.46,36.13,7438000,5852320,1.27,431.93,391.85,353.92,0.0,12.52,8,4,TREND,進攻優勢區,中段延續中,3,投機偏高,高檔無回檔型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔",1,1,2,0,5.49,活潑
2026-05-07,3044.TW,健鼎,satellite,quality_value,503.0,3.07,10.79,9.47,35.95,3733656,5818104,0.64,438.68,393.71,355.23,0.0,14.66,9,4,TREND,進攻優勢區,中段延續中,3,投機偏高,高檔無回檔型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔",1,1,2,0,5.41,活潑
2026-05-08,3044.TW,健鼎,satellite,quality_value,488.0,-2.4,8.81,5.51,29.1,2854467,5805549,0.49,444.02,395.34,356.42,-2.4,9.9,9,2,TREND,進攻優勢區,中段延續中,1,正常,正常,波段急漲、震幅過大、高檔無回檔,"波段急漲,震幅過大,高檔無回檔",1,1,1,0,5.78,活潑
