date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,3014.TW,聯陽,satellite,118.5,0.0,2.16,1.28,-0.42,627835,697695,0.9,117.2,118.09,120.51,-11.9,1.11,8,0,BASE,進攻優勢區,低檔慢慢墊高,,,,,,,,,,,,
2026-04-13,3014.TW,聯陽,satellite,119.0,0.42,3.03,2.59,-0.83,822105,676988,1.21,117.15,118.22,120.4,-11.52,1.58,8,0,NONE,進攻優勢區,還在觀察,,,,,,,,,,,,
2026-04-14,3014.TW,聯陽,satellite,120.5,1.26,3.88,2.55,1.69,983577,680296,1.45,117.25,118.36,120.29,-10.41,2.77,8,0,NONE,進攻優勢區,還在觀察,midlong_core,,,,,,,,,,,
2026-04-15,3014.TW,聯陽,satellite,121.0,0.41,2.54,4.76,2.98,669170,677025,0.99,117.42,118.42,120.2,-10.04,3.04,7,0,NONE,偏強可追蹤,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-16,3014.TW,聯陽,satellite,122.5,1.24,3.38,6.99,3.38,1187692,695884,1.71,117.62,118.53,120.13,-8.92,4.14,9,0,NONE,進攻優勢區,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-17,3014.TW,聯陽,satellite,124.0,1.22,4.64,6.9,4.2,1014758,708660,1.43,117.88,118.67,120.09,-7.81,5.2,8,0,NONE,進攻優勢區,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-20,3014.TW,聯陽,satellite,123.5,-0.4,3.78,6.93,5.11,837211,722267,1.16,118.17,118.82,120.04,-8.18,4.51,6,0,NONE,偏強可追蹤,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-21,3014.TW,聯陽,satellite,124.0,0.4,2.9,6.9,5.53,815205,721919,1.13,118.5,118.95,119.98,-7.81,4.64,7,0,NONE,偏強可追蹤,還在觀察,midlong_core,0.0,正常,,,,,,,,,
2026-04-22,3014.TW,聯陽,satellite,128.5,3.63,6.2,8.9,11.26,2907407,833919,3.49,119.15,119.16,119.97,-4.46,7.85,12,3,NONE,進攻優勢區,還在觀察,midlong_core,2.0,正常,1.64,穩健,,,,,,,
2026-04-23,3014.TW,聯陽,satellite,123.5,-3.89,0.82,4.22,5.56,2423286,898127,2.7,119.47,119.29,119.9,-8.18,3.37,9,2,NONE,進攻優勢區,還在觀察,midlong_core,2.0,正常,2.08,標準,,,,,,,
2026-04-24,3014.TW,聯陽,satellite,125.5,1.62,1.21,5.91,7.26,1124296,924382,1.22,119.9,119.46,119.84,-6.69,4.67,7,0,NONE,偏強可追蹤,還在觀察,midlong_core,0.0,正常,2.13,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-27,3014.TW,聯陽,satellite,124.5,-0.8,0.81,4.62,7.33,1044006,956372,1.09,120.33,119.57,119.75,-6.39,3.47,6,0,NONE,偏強可追蹤,還在觀察,midlong_core,0.0,正常,2.29,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-28,3014.TW,聯陽,satellite,123.5,-0.8,-0.4,2.49,5.11,888002,980047,0.91,120.62,119.65,119.67,-7.14,2.38,7,0,BASE,偏強可追蹤,低檔慢慢墊高,midlong_core,0.0,正常,2.26,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-29,3014.TW,聯陽,satellite,124.0,0.4,-3.5,2.48,7.36,472005,984596,0.48,121.05,119.74,119.6,-6.42,2.44,7,0,BASE,偏強可追蹤,低檔慢慢墊高,midlong_core,0.0,正常,2.22,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-30,3014.TW,聯陽,satellite,124.0,0.0,0.4,1.22,8.3,1169500,1007600,1.16,121.53,119.79,119.53,-6.06,2.04,7,0,TREND,偏強可追蹤,中段延續中,midlong_core,0.0,正常,2.28,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-05-04,3014.TW,聯陽,satellite,127.0,2.42,1.2,2.42,9.48,1442788,1048781,1.38,122.08,119.88,119.49,-3.42,4.03,8,1,TREND,進攻優勢區,中段延續中,midlong_core,0.0,正常,2.33,標準,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
