date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-14,2886.TW,兆豐金,core,midlong_core,39.35,0.13,-0.13,0.64,1.55,15728831,23315573,0.67,39.11,39.58,40.1,-6.53,0.61,6,0,BASE,偏強可追蹤,低檔慢慢墊高,,,,,,,,,,,
2026-04-15,2886.TW,兆豐金,core,midlong_core,39.5,0.38,0.38,2.2,1.28,22131893,23788462,0.93,39.13,39.57,40.08,-6.18,0.93,6,0,BASE,偏強可追蹤,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-16,2886.TW,兆豐金,core,midlong_core,39.95,1.14,0.5,3.9,1.52,19717694,23919038,0.82,39.16,39.56,40.07,-5.11,2.0,8,0,BASE,進攻優勢區,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-17,2886.TW,兆豐金,core,midlong_core,39.5,-1.13,-0.88,1.41,0.51,19763430,23941144,0.83,39.17,39.54,40.05,-5.95,0.83,6,0,BASE,偏強可追蹤,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-20,2886.TW,兆豐金,core,midlong_core,39.75,0.63,1.15,1.27,2.05,26182490,24264832,1.08,39.21,39.53,40.03,-5.02,1.36,7,0,NONE,偏強可追蹤,還在觀察,0.0,正常,,,,,,,,,
2026-04-21,2886.TW,兆豐金,core,midlong_core,39.45,-0.75,0.25,0.13,1.81,33846561,24432069,1.39,39.25,39.51,40.01,-5.62,0.51,6,0,NONE,偏強可追蹤,還在觀察,0.0,正常,,,,,,,,,
2026-04-22,2886.TW,兆豐金,core,midlong_core,39.5,0.13,0.0,0.38,3.0,31974297,24958759,1.28,39.31,39.5,39.99,-5.5,0.49,8,0,NONE,進攻優勢區,還在觀察,0.0,正常,1.56,穩健,,,,,,,
2026-04-23,2886.TW,兆豐金,core,midlong_core,39.8,0.76,-0.38,0.13,2.45,32094742,25596209,1.25,39.35,39.48,39.98,-4.78,1.13,8,1,NONE,進攻優勢區,還在觀察,0.0,正常,1.49,穩健,,,,,,,
2026-04-24,2886.TW,兆豐金,core,midlong_core,39.55,-0.63,0.13,-0.75,1.02,28367037,25806461,1.1,39.37,39.46,39.96,-5.27,0.44,7,0,NONE,偏強可追蹤,還在觀察,0.0,正常,1.45,穩健,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-27,2886.TW,兆豐金,core,midlong_core,39.8,0.63,0.13,1.27,1.79,36945992,26667611,1.39,39.41,39.45,39.94,-4.21,0.99,8,1,NONE,進攻優勢區,還在觀察,0.0,正常,1.54,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
