date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2308.TW,台達電,core,1735.0,5.47,17.63,11.94,23.93,10973678,11335767,0.97,1484.0,1298.5,1133.35,0.0,16.91,8,3,TREND,進攻優勢區,中段延續中,,,,,,,,,,,,
2026-04-13,2308.TW,台達電,core,1740.0,0.29,21.68,14.85,27.01,6680545,11301369,0.59,1502.5,1310.67,1139.62,0.0,15.81,8,5,TREND,進攻優勢區,中段延續中,,,,,,,,,,,,
2026-04-14,2308.TW,台達電,core,1750.0,0.57,15.51,15.89,26.35,9707370,11413686,0.85,1520.75,1322.33,1146.03,0.0,15.07,8,3,TREND,進攻優勢區,中段延續中,midlong_core,,,,,,,,,,,
2026-04-15,2308.TW,台達電,core,1785.0,2.0,7.21,20.2,31.25,9811750,11607801,0.85,1542.0,1334.92,1152.58,0.0,15.76,7,5,TREND,偏強可追蹤,中段延續中,midlong_core,3.0,投機偏高,,,,,,,,,
2026-04-16,2308.TW,台達電,core,1845.0,3.36,12.16,33.7,28.12,9212364,11442630,0.81,1562.25,1348.83,1159.38,0.0,18.1,8,3,TREND,進攻優勢區,中段延續中,midlong_core,0.0,正常,,,,,,,,,
2026-04-17,2308.TW,台達電,core,1840.0,-0.27,6.05,24.75,25.6,8436351,11329611,0.74,1581.0,1362.58,1166.44,-0.27,16.38,7,3,TREND,偏強可追蹤,中段延續中,midlong_core,0.0,正常,,,,,,,,,
2026-04-20,2308.TW,台達電,core,1900.0,3.26,9.2,32.87,30.58,9692483,11415200,0.85,1603.25,1376.67,1173.82,0.0,18.51,8,5,TREND,進攻優勢區,中段延續中,midlong_core,3.0,投機偏高,,,,,,,,,
2026-04-21,2308.TW,台達電,core,2015.0,6.05,15.14,33.0,36.61,8888821,11103964,0.8,1630.25,1393.08,1182.07,0.0,23.6,8,5,TREND,進攻優勢區,中段延續中,midlong_core,5.0,投機偏高,,,,,,,,,
2026-04-22,2308.TW,台達電,core,2015.0,0.0,12.89,21.02,42.91,10117948,10965436,0.92,1660.5,1409.0,1190.53,0.0,21.35,8,5,TREND,進攻優勢區,中段延續中,midlong_core,3.0,投機偏高,4.45,活潑,,,,,,,
2026-04-23,2308.TW,台達電,core,1980.0,-1.74,7.32,20.36,39.93,15088821,11102104,1.36,1688.75,1424.58,1198.58,-1.74,17.25,7,5,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,midlong_core,3.0,投機偏高,4.76,活潑,,,,,,,
2026-04-24,2308.TW,台達電,core,2075.0,4.8,12.77,19.6,33.87,10846873,10883207,1.0,1715.0,1440.42,1207.37,0.0,20.99,8,5,TREND,進攻優勢區,中段延續中,midlong_core,5.0,投機偏高,4.61,活潑,高檔脫離型,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2.0,1.0,3.0,1.0
2026-04-27,2308.TW,台達電,core,2020.0,-2.65,6.32,16.09,33.33,13935817,10963816,1.27,1740.25,1455.42,1215.7,-2.65,16.08,7,5,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,midlong_core,3.0,投機偏高,4.74,活潑,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",1.0,1.0,2.0,1.0
2026-04-28,2308.TW,台達電,core,2125.0,5.2,5.46,21.43,40.73,13898931,11154683,1.25,1771.0,1472.0,1224.99,0.0,19.99,7,5,TREND,偏強可追蹤,中段延續中,midlong_core,4.0,投機偏高,4.47,活潑,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1.0,1.0,3.0,1.0
2026-04-29,2308.TW,台達電,core,2165.0,1.88,7.44,21.29,45.79,12231178,11212768,1.09,1805.0,1489.17,1234.12,0.0,19.94,6,5,TREND,偏強可追蹤,中段延續中,midlong_core,5.0,投機偏高,4.6,活潑,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2.0,1.0,3.0,1.0
2026-04-30,2308.TW,台達電,core,2165.0,0.0,9.34,17.34,56.88,13424815,10959448,1.22,1844.25,1504.5,1243.2,0.0,17.39,8,7,TREND,高風險追價區,有點過熱，別硬追,midlong_core,4.0,投機偏高,4.68,活潑,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",2.0,1.0,2.0,1.0
2026-05-04,2308.TW,台達電,core,2220.0,2.54,6.99,20.65,50.51,12558546,11018375,1.14,1881.5,1520.5,1252.87,0.0,17.99,6,7,TREND,高風險追價區,有點過熱，別硬追,midlong_core,4.0,投機偏高,4.76,活潑,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",2.0,1.0,2.0,1.0
