date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-14,00679B.TWO,元大美債20年,etf,defensive_watch,27.17,0.26,-0.51,0.33,-0.62,48460000,41975900,1.15,27.28,27.25,27.13,-2.96,-0.4,2,1,NONE,一般觀察,還在觀察,,,,,,,,,,,
2026-04-15,00679B.TWO,元大美債20年,etf,defensive_watch,27.26,0.33,-0.51,0.26,-0.62,59774000,43928000,1.36,27.27,27.26,27.14,-2.64,-0.04,5,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-16,00679B.TWO,元大美債20年,etf,defensive_watch,27.09,-0.62,-0.95,-1.53,-0.84,24244000,43639050,0.56,27.26,27.26,27.14,-3.25,-0.62,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-17,00679B.TWO,元大美債20年,etf,defensive_watch,26.91,-0.66,-1.18,-1.72,-2.15,37040000,42903500,0.86,27.23,27.25,27.14,-3.89,-1.18,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-20,00679B.TWO,元大美債20年,etf,defensive_watch,27.04,0.48,-0.22,-0.55,-1.24,27995000,42542600,0.66,27.21,27.25,27.15,-3.43,-0.64,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-21,00679B.TWO,元大美債20年,etf,defensive_watch,27.11,0.26,-0.22,-0.73,-1.38,31812000,42789500,0.74,27.19,27.25,27.15,-3.18,-0.31,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-22,00679B.TWO,元大美債20年,etf,defensive_watch,27.02,-0.33,-0.88,-1.39,-0.11,23335000,41997400,0.56,27.19,27.25,27.15,-3.5,-0.63,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.6,穩健,,,,,,,
2026-04-23,00679B.TWO,元大美債20年,etf,defensive_watch,26.96,-0.22,-0.48,-1.43,-0.59,26977000,40815000,0.66,27.18,27.24,27.15,-3.71,-0.83,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.57,穩健,,,,,,,
2026-04-24,00679B.TWO,元大美債20年,etf,defensive_watch,26.96,0.0,0.19,-0.99,-0.92,17857000,39881200,0.45,27.17,27.24,27.14,-3.71,-0.78,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.54,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-27,00679B.TWO,元大美債20年,etf,defensive_watch,26.87,-0.33,-0.63,-0.85,-1.14,33536000,40570700,0.83,27.16,27.24,27.14,-4.04,-1.05,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.5,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-28,00679B.TWO,元大美債20年,etf,defensive_watch,26.88,0.04,-0.85,-1.07,-0.74,33620000,40900000,0.82,27.15,27.24,27.14,-4.0,-0.98,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.49,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-29,00679B.TWO,元大美債20年,etf,defensive_watch,26.99,0.41,-0.11,-0.99,-0.74,21942000,39637900,0.55,27.14,27.24,27.14,-3.61,-0.54,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.47,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-30,00679B.TWO,元大美債20年,etf,defensive_watch,26.82,-0.63,-0.52,-1.0,-2.51,25886000,37275700,0.69,27.1,27.24,27.13,-4.21,-1.04,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.51,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
