date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag
2026-04-24,2312.TW,金寶,theme,short_attack,26.1,-3.33,6.31,16.26,13.23,74514844,39344247,1.89,23.83,24.88,24.06,-26.27,9.55,12,2,"ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,2,正常,正常,爆量、波動劇烈、震幅過大,"爆量,波動劇烈,震幅過大",0,3,0,0,6.34,活潑
2026-04-27,2312.TW,金寶,theme,short_attack,27.4,4.98,10.93,23.42,20.18,42107619,40843456,1.03,24.06,24.74,24.09,-22.6,13.91,10,1,PULLBACK,進攻優勢區,高檔拉回整理,2,正常,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0,2,1,0,6.4,活潑
2026-04-28,2312.TW,金寶,theme,short_attack,30.1,9.85,10.87,32.6,30.02,138910272,46982494,2.96,24.4,24.66,24.16,-14.97,23.35,14,6,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,單日急拉、波段急漲、爆量,"單日急拉,波段急漲,爆量,量能失衡,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高,缺少趨勢支撐,加速但結構薄",2,4,2,3,6.23,活潑
