date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag
2026-05-06,2345.TW,智邦,satellite,quality_value,2510.0,0.6,9.37,14.61,55.42,5678917,4599273,1.23,2105.25,1653.42,1376.53,0.0,19.23,9,7,TREND,高風險追價區,有點過熱，別硬追,6,疑似炒作風險高,高檔脫離型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,1,3,1,5.78,活潑
2026-05-07,2345.TW,智邦,satellite,quality_value,2560.0,3.02,15.84,16.36,49.71,3757665,4543120,0.83,2146.5,1676.17,1388.7,0.0,19.26,9,5,TREND,進攻優勢區,中段延續中,7,疑似炒作風險高,高檔脫離型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,1,3,1,5.71,活潑
