date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2356.TW,英業達,theme,44.3,1.14,7.79,3.26,3.02,20192388,14994614,1.35,42.57,43.75,43.83,-13.48,4.06,10,0,NONE,進攻優勢區,還在觀察,,,,,,,,,,,,
2026-04-13,2356.TW,英業達,theme,44.55,0.56,9.06,3.73,3.73,12849565,14960584,0.86,42.65,43.76,43.82,-12.99,4.45,11,0,NONE,進攻優勢區,還在觀察,,,,,,,,,,,,
2026-04-14,2356.TW,英業達,theme,44.6,0.11,9.18,3.48,4.57,24259240,15580211,1.56,42.75,43.78,43.8,-12.89,4.33,13,0,ACCEL,進攻優勢區,轉強速度有出來,short_attack,,,,,,,,,,,
2026-04-15,2356.TW,英業達,theme,44.45,-0.34,4.22,7.37,3.13,21714741,16198775,1.34,42.82,43.79,43.78,-13.18,3.81,8,0,NONE,進攻優勢區,還在觀察,short_attack,0.0,正常,,,,,,,,,
2026-04-16,2356.TW,英業達,theme,45.0,1.24,2.74,12.36,2.27,19133590,16037708,1.19,42.87,43.83,43.78,-12.11,4.97,6,0,NONE,偏強可追蹤,還在觀察,short_attack,0.0,正常,,,,,,,,,
2026-04-17,2356.TW,英業達,theme,45.75,1.67,3.27,11.31,3.16,34642540,16821423,2.06,42.94,43.88,43.8,-10.64,6.55,9,1,NONE,進攻優勢區,還在觀察,short_attack,1.0,正常,,,,,,,,,
2026-04-20,2356.TW,英業達,theme,46.6,1.86,4.6,14.08,7.25,35874864,17977081,2.0,43.09,43.92,43.83,-8.98,8.13,9,2,ACCEL,進攻優勢區,轉強速度有出來,short_attack,1.0,正常,,,,,,,,,
2026-04-21,2356.TW,英業達,theme,47.35,1.61,6.17,15.91,10.63,29328827,18654963,1.57,43.32,43.99,43.86,-7.52,9.3,12,1,ACCEL,進攻優勢區,轉強速度有出來,short_attack,0.0,正常,,,,,,,,,
2026-04-22,2356.TW,英業達,theme,47.75,0.84,7.42,11.96,13.83,36521848,19901534,1.84,43.61,44.05,43.89,-6.74,9.49,13,2,NONE,進攻優勢區,還在觀察,short_attack,1.0,正常,2.74,標準,,,,,,,
2026-04-23,2356.TW,英業達,theme,46.3,-3.04,2.89,5.71,9.59,37518179,21325664,1.76,43.81,44.09,43.9,-9.57,5.67,9,0,NONE,進攻優勢區,還在觀察,short_attack,0.0,正常,3.14,標準,,,,,,,
2026-04-24,2356.TW,英業達,theme,48.1,3.89,5.14,8.58,12.12,44090013,23047949,1.91,44.07,44.15,43.93,-6.05,9.13,11,2,NONE,進攻優勢區,還在觀察,short_attack,1.0,正常,3.19,標準,正常,爆量、走勢與訊號不匹配,"爆量,走勢與訊號不匹配",0.0,1.0,0.0,1.0
2026-04-27,2356.TW,英業達,theme,46.7,-2.91,0.21,4.83,8.73,43620158,24714831,1.76,44.26,44.18,43.93,-8.79,5.51,10,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.71,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-28,2356.TW,英業達,theme,46.35,-0.75,-2.11,3.92,7.54,22659246,24943494,0.91,44.42,44.21,43.94,-9.47,4.33,7,0,NONE,偏強可追蹤,還在觀察,short_attack,0.0,正常,3.7,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-29,2356.TW,英業達,theme,46.3,-0.11,-3.04,4.16,11.84,15144652,24937806,0.61,44.67,44.21,43.93,-9.57,3.65,9,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.6,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-30,2356.TW,英業達,theme,45.9,-0.86,-0.86,2.0,14.61,15057849,24354076,0.62,44.96,44.12,43.92,-10.35,2.09,10,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.62,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
