date,ticker,name,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,group,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,3057.TW,喬鼎,17.35,10.16,11.94,257228,295326,16.23,17.32,16.18,-27.41,6.88,10,0,PULLBACK,進攻優勢區,高檔拉回整理,theme,,9.81,,4.83,0.87,,,,,,,,,,,,,,,,,
2026-04-13,3057.TW,喬鼎,17.3,10.54,13.07,492689,311706,16.33,17.22,16.21,-27.62,5.92,13,0,"ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,-0.29,,3.28,1.58,,,,,,,,,,,,,,,,,
2026-04-14,3057.TW,喬鼎,18.75,20.19,24.58,645985,337917,16.52,17.14,16.26,-21.55,13.52,14,4,"SURGE,ACCEL,PULLBACK",進攻優勢區,題材正在發酵,theme,,8.38,,16.82,1.91,,,,,,short_attack,,,,,,,,,,,
2026-04-15,3057.TW,喬鼎,19.0,18.38,28.38,1250408,392761,16.73,17.07,16.31,-20.5,13.59,14,5,"SURGE,ACCEL,PULLBACK",進攻優勢區,題材正在發酵,theme,,1.33,,18.38,3.18,,,,,,short_attack,8.0,疑似炒作風險高,,,,,,,,,
2026-04-16,3057.TW,喬鼎,18.1,14.56,19.47,483343,408813,16.87,17.0,16.35,-24.27,7.26,10,0,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-4.74,,19.08,1.18,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-17,3057.TW,喬鼎,18.6,7.2,11.71,415698,413606,16.97,16.95,16.4,-22.18,9.59,9,1,"TREND,PULLBACK",進攻優勢區,中段延續中,theme,,2.76,,18.1,1.01,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-20,3057.TW,喬鼎,18.5,6.94,1.09,440319,407502,16.98,16.94,16.45,-22.59,8.94,8,1,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-0.54,,18.21,1.08,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-21,3057.TW,喬鼎,18.65,-0.53,-1.84,318412,313975,16.96,16.93,16.5,-21.97,9.93,5,1,PULLBACK,開始轉強,高檔拉回整理,theme,,0.81,,19.55,1.01,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-22,3057.TW,喬鼎,19.25,1.32,12.57,592820,317251,17.07,16.93,16.56,-19.46,12.75,10,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,theme,,3.22,,19.94,1.87,,,,,,short_attack,2.0,正常,4.99,活潑,,,,,,,
2026-04-23,3057.TW,喬鼎,18.85,4.14,14.24,584405,333100,17.19,16.92,16.61,-21.13,9.66,11,1,"TREND,ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,-2.08,,19.3,1.75,,,,,,short_attack,0.0,正常,5.31,活潑,,,,,,,
2026-04-24,3057.TW,喬鼎,19.3,3.76,16.62,492729,351742,17.33,16.92,16.66,-19.25,11.38,8,1,TREND,進攻優勢區,中段延續中,theme,,2.39,,11.24,1.4,,,,,,short_attack,0.0,正常,5.13,活潑,正常,震幅過大、乖離偏大,"震幅過大,乖離偏大",0.0,1.0,1.0,0.0
2026-04-27,3057.TW,喬鼎,18.85,1.89,12.54,225026,355967,17.43,16.92,16.71,-21.13,8.13,8,1,"TREND,PULLBACK",進攻優勢區,中段延續中,theme,,-2.33,,8.96,0.63,,,,,,short_attack,0.0,正常,5.38,活潑,正常,震幅過大,震幅過大,0.0,1.0,0.0,0.0
2026-04-28,3057.TW,喬鼎,18.85,1.07,17.45,267595,363926,17.57,16.92,16.77,-21.13,7.27,8,0,"TREND,PULLBACK",進攻優勢區,中段延續中,theme,,0.0,,0.53,0.74,,,,,,short_attack,0.0,正常,5.46,活潑,正常,震幅過大,震幅過大,0.0,1.0,0.0,0.0
