date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-16,2303.TW,聯電,core,midlong_core,68.3,9.98,13.83,20.88,12.52,280417097,97786392,2.87,59.06,61.47,54.36,-10.37,15.65,9,4,ACCEL,進攻優勢區,轉強速度有出來,3,投機偏高,,,,,,,,,
2026-04-17,2303.TW,聯電,core,midlong_core,73.0,6.88,17.74,27.18,19.48,494806022,119250068,4.15,59.65,61.77,54.6,-4.2,22.37,9,5,ACCEL,進攻優勢區,轉強速度有出來,7,疑似炒作風險高,,,,,,,,,
2026-04-20,2303.TW,聯電,core,midlong_core,76.9,5.34,27.95,43.47,31.01,348790257,132442994,2.63,60.56,62.13,54.87,0.0,26.97,10,9,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,,,,,,,,,
2026-04-21,2303.TW,聯電,core,midlong_core,76.2,-0.91,27.64,30.7,31.83,315361026,144175111,2.19,61.48,62.49,55.13,-0.91,23.93,10,8,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,,,,,,,,,
2026-04-22,2303.TW,聯電,core,midlong_core,78.6,3.15,26.57,30.35,38.62,231383599,152598214,1.52,62.58,62.9,55.4,0.0,25.6,9,7,ACCEL,高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,5.38,活潑,,,,,,,
2026-04-23,2303.TW,聯電,core,midlong_core,73.6,-6.36,7.76,22.67,30.27,230028648,161464911,1.42,63.43,63.21,55.63,-6.36,16.02,7,4,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,2,正常,6.32,活潑,,,,,,,
2026-04-24,2303.TW,聯電,core,midlong_core,74.5,1.22,2.05,20.16,26.06,178977116,167718181,1.07,64.2,63.48,55.87,-5.22,16.03,5,2,TREND,開始轉強,中段延續中,2,正常,6.24,活潑,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1.0,2.0,1.0,0.0
2026-04-27,2303.TW,聯電,core,midlong_core,72.7,-2.42,-5.46,20.97,24.91,185496761,175246424,1.06,64.93,63.65,56.1,-7.51,11.97,5,1,TREND,開始轉強,中段延續中,1,正常,6.44,活潑,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0.0,2.0,1.0,0.0
2026-04-28,2303.TW,聯電,core,midlong_core,75.1,3.3,-1.44,25.8,29.93,162722456,181309337,0.9,65.79,63.77,56.35,-4.45,14.14,6,2,TREND,偏強可追蹤,中段延續中,3,投機偏高,6.52,劇烈,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1.0,2.0,2.0,0.0
2026-04-29,2303.TW,聯電,core,midlong_core,74.5,-0.8,-5.22,19.97,30.7,120092535,184289198,0.65,66.67,63.87,56.59,-5.22,11.74,6,3,TREND,偏強可追蹤,中段延續中,2,正常,6.67,劇烈,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1.0,2.0,1.0,0.0
2026-04-30,2303.TW,聯電,core,midlong_core,77.3,3.76,5.03,13.18,36.81,331616948,197284135,1.68,67.71,64.03,56.85,-1.65,14.16,10,4,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,3,投機偏高,6.63,劇烈,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1.0,2.0,2.0,0.0
2026-05-04,2303.TW,聯電,core,midlong_core,81.2,5.05,8.99,11.23,41.46,241689079,206283064,1.17,68.9,64.31,57.15,0.0,17.85,7,5,TREND,偏強可追蹤,中段延續中,4,投機偏高,6.47,活潑,高檔脫離型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔,追價風險高",1.0,2.0,2.0,1.0
