rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
15,2026-04-28,2317.TW,鴻海,core,midlong_core,225.5,-1.1,6.87,8.67,13.03,101695092,67229952,1.51,206.65,214.18,223.8,-13.93,9.12,8,1,NONE,進攻優勢區,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,3.18,標準,B,4,-1,0,UP
16,2026-04-28,6147.TWO,頎邦,satellite,midlong_core,144.0,9.92,6.27,27.43,87.5,16740679,35686145,0.47,110.98,76.07,65.33,-0.69,29.75,8,7,TREND,高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,急拉爆量型,單日急拉、波段急漲、20日飆漲,"單日急拉,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,2,3,1,8.71,劇烈,C,17,2,1,UP
17,2026-04-28,4919.TW,新唐,theme,short_attack,149.0,9.56,3.11,34.84,45.37,6849729,18275407,0.37,115.66,88.82,71.44,-3.25,28.83,8,5,TREND,進攻優勢區,中段延續中,8,疑似炒作風險高,急拉爆量型,單日急拉、波段急漲、20日飆漲,"單日急拉,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,2,3,1,8.49,劇烈,X,12,0,1,UP
18,2026-04-28,2465.TW,麗臺,theme,short_attack,69.5,1.02,2.81,14.69,27.29,1484189,1750688,0.85,61.14,56.82,58.08,-2.52,13.67,8,2,TREND,進攻優勢區,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,6.36,活潑,X,4,0,0,UP
19,2026-04-28,2886.TW,兆豐金,core,midlong_core,40.15,0.88,1.77,2.03,2.69,32463526,26943698,1.2,39.46,39.45,39.93,-3.14,1.74,8,1,NONE,進攻優勢區,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.46,穩健,X,6,0,0,UP
20,2026-04-28,3057.TW,喬鼎,theme,short_attack,18.85,0.0,1.07,0.53,17.45,267595,363926,0.74,17.57,16.92,16.77,-21.13,7.27,8,0,"TREND,PULLBACK",進攻優勢區,中段延續中,0,正常,正常,震幅過大,震幅過大,0,1,0,0,5.46,活潑,X,3,0,-1,UP
21,2026-04-28,2399.TW,映泰,theme,short_attack,41.8,1.09,-0.36,24.04,34.84,20017892,20703143,0.97,36.46,29.38,26.75,-4.24,14.65,8,4,TREND,進攻優勢區,中段延續中,4,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,8.35,劇烈,X,-18,-7,0,DOWN
22,2026-04-28,3035.TW,智原,satellite,midlong_core,176.5,-5.36,-1.94,15.36,17.28,20788797,10690916,1.94,159.0,160.53,165.32,-5.36,11.01,8,2,ACCEL,進攻優勢區,轉強速度有出來,3,投機偏高,資金擁擠型,爆量、震幅過大、乖離偏大,"爆量,震幅過大,乖離偏大,加速但結構薄",0,2,1,1,5.36,活潑,A,-11,-3,-3,DOWN
23,2026-04-28,6182.TWO,合晶,theme,short_attack,40.0,-0.74,-7.51,8.53,14.61,38946734,27188598,1.43,36.69,35.77,33.41,-11.11,9.01,8,1,TREND,進攻優勢區,中段延續中,0,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.42,劇烈,B,-10,-2,-1,DOWN
24,2026-04-28,2495.TW,普安,theme,short_attack,40.8,-0.12,-8.21,-0.73,17.07,5223113,12224980,0.43,38.93,35.04,31.63,-9.73,4.81,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.51,劇烈,X,4,0,0,UP
25,2026-04-28,8111.TWO,立碁,theme,short_attack,71.0,6.13,-12.24,3.35,13.96,4458671,6650090,0.67,67.77,66.63,66.98,-12.24,4.77,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.53,劇烈,X,18,3,0,UP
26,2026-04-28,5274.TWO,信驊,satellite,midlong_core,16095.0,0.59,5.58,23.76,39.29,291096,312077,0.93,13569.5,11117.83,8894.38,-1.68,18.61,7,5,TREND,偏強可追蹤,中段延續中,6,疑似炒作風險高,高檔脫離型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,2,3,1,6.8,劇烈,X,-9,-2,0,DOWN
27,2026-04-28,2308.TW,台達電,core,midlong_core,2125.0,5.2,5.46,21.43,40.73,13898931,11154683,1.25,1771.0,1472.0,1224.99,0.0,19.99,7,5,TREND,偏強可追蹤,中段延續中,4,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,1,3,1,4.47,活潑,X,4,0,0,UP
28,2026-04-28,3711.TW,日月光投控,core,midlong_core,495.5,0.0,4.98,16.86,40.17,21147769,21568616,0.98,422.73,363.22,302.1,-0.1,17.22,7,5,TREND,偏強可追蹤,中段延續中,3,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔,追價風險高",1,1,2,1,5.02,活潑,X,2,0,0,UP
29,2026-04-28,6962.TW,奕力-KY,satellite,midlong_core,35.5,-1.11,4.41,4.72,3.2,3879042,6261349,0.62,34.61,34.88,37.71,-22.91,2.56,7,0,PULLBACK,偏強可追蹤,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,5.13,活潑,X,-9,-2,0,DOWN
30,2026-04-28,2388.TW,威盛,theme,short_attack,74.1,-0.8,1.79,30.46,35.96,16715843,13976173,1.2,62.17,54.72,53.9,-7.38,19.18,7,4,TREND,偏強可追蹤,中段延續中,4,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大",1,2,2,0,7.1,劇烈,X,-29,-8,-1,DOWN
31,2026-04-28,3014.TW,聯陽,satellite,midlong_core,123.5,-0.8,-0.4,2.49,5.11,888002,980047,0.91,120.62,119.65,119.67,-7.14,2.38,7,0,BASE,偏強可追蹤,低檔慢慢墊高,0,正常,正常,結構相對正常,,0,0,0,0,2.26,標準,X,3,1,0,UP
32,2026-04-28,2356.TW,英業達,theme,short_attack,46.35,-0.75,-2.11,3.92,7.54,22659246,24943494,0.91,44.42,44.21,43.94,-9.47,4.33,7,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,3.7,標準,X,-18,-3,0,DOWN
33,2026-04-28,3231.TW,緯創,theme,short_attack,140.5,-1.4,-2.77,2.93,10.63,27271123,39296167,0.69,134.47,132.2,138.38,-11.36,4.48,7,0,TREND,偏強可追蹤,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,3.28,標準,X,-9,-1,0,DOWN
34,2026-04-28,2382.TW,廣達,theme,short_attack,321.0,-1.38,-5.59,-0.62,11.07,15525273,22614012,0.69,312.65,294.27,288.32,-5.59,2.67,7,0,TREND,偏強可追蹤,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,3.95,標準,X,-7,-1,-1,DOWN
35,2026-04-28,3013.TW,晟銘電,theme,short_attack,111.5,-1.33,1.36,7.73,5.19,3375476,4905958,0.69,105.92,105.97,117.05,-20.36,5.27,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,1,正常,正常,震幅過大,震幅過大,0,1,0,0,5.38,活潑,X,-3,-1,0,DOWN
36,2026-04-28,3661.TW,世芯-KY,satellite,midlong_core,4000.0,-3.85,0.38,25.0,31.58,2149279,2610927,0.82,3333.75,3290.33,3320.83,-5.1,19.99,6,4,TREND,偏強可追蹤,中段延續中,3,投機偏高,高檔無回檔型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大",1,1,2,0,5.6,活潑,X,-20,-3,-1,DOWN
37,2026-04-28,2882.TW,國泰金,core,midlong_core,74.7,0.27,-1.06,2.75,5.81,22636897,25899795,0.87,73.42,74.2,71.99,-6.27,1.75,6,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.83,穩健,X,2,1,0,UP
38,2026-04-28,2303.TW,聯電,core,midlong_core,75.1,3.3,-1.44,25.8,29.93,162722456,181309337,0.9,65.79,63.77,56.35,-4.45,14.14,6,2,TREND,偏強可追蹤,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,6.52,劇烈,X,4,1,1,UP
39,2026-04-28,2340.TW,台亞,satellite,midlong_core,35.35,0.28,-9.48,20.85,31.9,8165105,12301101,0.66,31.56,28.3,27.22,-17.69,12.01,6,3,TREND,偏強可追蹤,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1,2,1,0,8.52,劇烈,X,1,1,2,UP
40,2026-04-28,3450.TW,聯鈞,theme,short_attack,305.5,1.33,-19.61,-2.86,12.52,11981856,19897414,0.6,308.75,282.32,268.96,-20.23,-1.05,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,9.19,劇烈,X,4,1,0,UP
41,2026-04-28,8064.TWO,東捷,core,midlong_core,86.3,9.94,3.6,13.85,22.24,18953691,15808926,1.2,75.78,62.48,53.22,0.0,13.89,5,2,TREND,開始轉強,中段延續中,3,投機偏高,資金擁擠型,單日急拉、波動劇烈、震幅過大,"單日急拉,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,8.7,劇烈,X,-5,-1,2,DOWN
42,2026-04-27,00878.TW,國泰永續高股息,etf,midlong_core,25.0,0.0,2.0,8.65,11.41,118193362,80913716,1.46,23.41,22.87,21.92,-0.4,6.79,4,1,TREND,開始轉強,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.47,穩健,X,3,0,0,UP
