ticker,name,trial_start_date,days_tracked,trial_status,close,simulated_entry_price,simulated_ret_pct,planned_unit,entry_zone_low,entry_zone_high,stop_loss,stop_distance_pct,hard_stop_price,risk_to_stop_pct,add_trigger_price,trim_watch_price,days_to_review,decision_state,next_check,zone_status,heat_status,next_action,rule_note
3213.TWO,茂訊,2026-05-07,1,watch_wait,116.0,114.5,1.31,1/3,113.48,116.16,102.74,12.91,102.74,-10.27,119.64,123.66,9,waiting,條件未齊，等買區與轉強訊號重新同步,買區內,正常,等待條件,尚未同時滿足買區與試單條件
3213.TWO,茂訊,2026-05-07,1,watch_wait,117.5,114.5,2.62,1/3,113.48,116.16,102.74,14.37,102.74,-10.27,119.64,123.66,9,waiting,條件未齊，等買區與轉強訊號重新同步,買區上方,偏熱,等待條件,尚未同時滿足買區與試單條件
