rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
14,2026-04-27,2356.TW,英業達,theme,short_attack,46.7,-2.91,0.21,4.83,8.73,43802058,24723926,1.77,44.26,44.18,43.93,-8.79,5.51,10,0,TREND,進攻優勢區,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,3.71,標準,B,0,0,0,FLAT
15,2026-04-27,2412.TW,中華電,core,midlong_core,137.0,1.11,0.0,1.86,1.86,17224848,9386366,1.84,135.28,134.84,133.16,-0.72,1.28,10,2,NONE,進攻優勢區,還在觀察,1,正常,正常,爆量、高檔無回檔、走勢與訊號不匹配,"爆量,高檔無回檔,走勢與訊號不匹配",0,1,1,1,1.07,穩健,B,0,0,0,FLAT
16,2026-04-27,0052.TW,富邦科技,etf,midlong_core,54.85,4.08,11.48,17.42,25.16,100780216,51439212,1.96,47.28,44.88,69.02,-78.49,16.01,9,3,"SURGE,TREND,ACCEL,PULLBACK",進攻優勢區,題材正在發酵,1,正常,正常,波段急漲、爆量、震幅過大,"波段急漲,爆量,震幅過大,乖離偏大",1,2,1,0,2.3,標準,A,0,0,0,FLAT
17,2026-04-27,5274.TWO,信驊,satellite,midlong_core,16000.0,-2.26,10.92,31.36,38.53,456157,311676,1.46,13342.5,10993.5,8803.71,-2.26,19.92,9,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,6,疑似炒作風險高,高檔脫離型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,2,3,1,6.98,劇烈,X,0,0,0,FLAT
18,2026-04-27,3443.TW,創意,satellite,midlong_core,3955.0,-1.98,10.47,42.52,55.71,1742792,2144064,0.81,3009.5,2669.33,2358.08,-1.98,31.42,9,7,TREND,高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,2,3,1,6.25,活潑,C,0,0,0,FLAT
19,2026-04-27,0050.TW,元大台灣50,etf,midlong_core,93.0,3.39,9.99,15.38,22.69,191212250,122057853,1.57,81.41,77.31,70.36,0.0,14.23,9,2,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,0,正常,正常,乖離偏大、高檔無回檔,"乖離偏大,高檔無回檔",0,0,2,0,2.19,標準,A,0,0,0,FLAT
20,2026-04-27,2317.TW,鴻海,core,midlong_core,228.0,2.93,9.88,14.0,13.72,108847075,63713083,1.71,205.35,214.15,223.92,-12.98,11.03,9,1,ACCEL,進攻優勢區,轉強速度有出來,0,正常,正常,乖離偏大、加速但結構薄,"乖離偏大,加速但結構薄",0,0,1,1,3.18,標準,A,0,0,0,FLAT
21,2026-04-27,6962.TW,奕力-KY,satellite,midlong_core,35.9,-9.0,6.21,7.81,5.9,11377876,6552563,1.74,34.56,34.94,37.77,-22.04,3.88,9,0,PULLBACK,進攻優勢區,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,5.01,活潑,B,0,0,0,FLAT
22,2026-04-27,3661.TW,世芯-KY,satellite,midlong_core,4160.0,-1.3,14.76,34.63,35.73,2678574,2584489,1.04,3285.75,3280.25,3313.75,-1.3,26.61,8,5,TREND,進攻優勢區,中段延續中,6,疑似炒作風險高,高檔脫離型,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,1,3,1,5.23,活潑,X,0,0,0,FLAT
23,2026-04-27,2465.TW,麗臺,theme,short_attack,68.8,1.78,3.61,11.51,26.94,1671295,1686714,0.99,60.4,56.62,58.08,-3.51,13.92,8,2,TREND,進攻優勢區,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,6.68,劇烈,X,0,0,0,FLAT
