date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label
2026-04-10,3443.TW,創意,satellite,2665.0,0.38,13.16,7.68,12.21,2374272,2264836,1.05,2440.5,2481.17,2176.83,-3.79,9.2,7,2,NONE,偏強可追蹤,還在觀察,,,
2026-04-13,3443.TW,創意,satellite,2775.0,4.13,19.61,9.25,21.18,2833595,2304595,1.23,2464.75,2488.75,2188.42,0.0,12.59,8,4,NONE,進攻優勢區,還在觀察,,,
2026-04-14,3443.TW,創意,satellite,3050.0,9.91,28.96,23.98,33.48,3779730,2421042,1.56,2503.0,2498.17,2201.46,0.0,21.85,12,7,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,midlong_core,,
2026-04-15,3443.TW,創意,satellite,3070.0,0.66,22.31,32.9,35.84,3605762,2536204,1.42,2543.5,2507.83,2214.42,0.0,20.7,9,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,midlong_core,6.0,疑似炒作風險高
2026-04-16,3443.TW,創意,satellite,3345.0,8.96,25.99,54.5,46.07,4048279,2668976,1.52,2596.25,2522.75,2229.79,0.0,28.84,11,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,midlong_core,7.0,疑似炒作風險高
2026-04-17,3443.TW,創意,satellite,3255.0,-2.69,22.14,38.22,29.42,1217554,2590621,0.47,2633.25,2537.58,2244.88,-2.69,23.61,9,5,TREND,進攻優勢區,中段延續中,midlong_core,4.0,投機偏高
