date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label
2026-04-10,2881.TW,富邦金,core,87.6,-1.02,-0.23,-1.35,-1.79,20351718,18099919,1.12,88.12,91.46,92.13,-10.79,-0.59,3,0,NONE,一般觀察,還在觀察,,,
2026-04-13,2881.TW,富邦金,core,86.7,-1.03,-1.25,-2.14,-3.02,17099835,17921504,0.95,87.98,91.29,92.13,-11.71,-1.46,4,0,NONE,開始轉強,還在觀察,,,
2026-04-14,2881.TW,富邦金,core,87.6,1.04,-0.11,-0.11,-0.57,18050038,17840747,1.01,87.96,91.14,92.12,-10.79,-0.41,3,0,NONE,一般觀察,還在觀察,midlong_core,,
2026-04-15,2881.TW,富邦金,core,87.5,-0.11,-1.91,1.27,-1.46,21034630,18243523,1.15,87.89,91.0,92.11,-10.9,-0.45,3,0,NONE,一般觀察,還在觀察,midlong_core,0.0,正常
2026-04-16,2881.TW,富邦金,core,87.9,0.46,-0.68,2.21,-2.12,20729379,18040397,1.15,87.8,90.84,92.11,-10.49,0.11,4,0,NONE,開始轉強,還在觀察,midlong_core,0.0,正常
