date,ticker,name,group,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,2330.TW,台積電,core,2000.0,7.82,3.43,28637625,32413031,1856.84,1819.03,1636.21,-0.42,7.71,6,1,NONE,偏強可追蹤,還在觀察,,2.3,,8.4,0.88,,,,,,,,,,
2026-04-13,2330.TW,台積電,core,1990.0,9.94,5.91,28968757,32159439,1862.4,1824.46,1640.91,-0.92,6.85,7,1,NONE,偏強可追蹤,還在觀察,,-0.5,,8.15,0.9,,,,,,,,,,
2026-04-14,2330.TW,台積電,core,2055.0,10.48,10.55,39113405,32554394,1872.2,1830.38,1646.32,0.0,9.76,8,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,,3.27,,12.91,1.2,,,,,,midlong_core,,,,
2026-04-15,2330.TW,台積電,core,2080.0,6.67,13.1,40343568,33009118,1884.25,1837.22,1651.73,0.0,10.39,7,2,"TREND,ACCEL",偏強可追蹤,轉強速度有出來,,1.22,,16.85,1.22,,,,,,midlong_core,0.0,正常,,
2026-04-16,2330.TW,台積電,core,2085.0,6.65,11.5,32038524,33420434,1895.0,1843.98,1657.4,0.0,10.03,6,2,TREND,偏強可追蹤,中段延續中,,0.24,,18.47,0.96,,,,,,midlong_core,0.0,正常,,
2026-04-17,2330.TW,台積電,core,2030.0,1.5,6.56,39260244,34230039,1901.25,1849.9,1662.51,-2.64,6.77,3,1,NONE,一般觀察,還在觀察,,-2.64,,9.43,1.15,,,,,,midlong_core,0.0,正常,,
2026-04-20,2330.TW,台積電,core,2025.0,1.76,9.46,25407621,33948391,1910.0,1855.58,1667.26,-2.88,6.02,5,1,TREND,開始轉強,中段延續中,,-0.25,,11.88,0.75,,,,,,midlong_core,0.0,正常,,
2026-04-21,2330.TW,台積電,core,2050.0,-0.24,11.41,25783476,32921949,1920.5,1861.34,1672.05,-1.68,6.74,5,1,TREND,開始轉強,中段延續中,,1.23,,10.22,0.78,,,,,,midlong_core,0.0,正常,,
2026-04-22,2330.TW,台積電,core,2050.0,-1.44,13.26,26371952,32495399,1932.5,1867.1,1677.13,-1.68,6.08,6,1,TREND,偏強可追蹤,中段延續中,,0.0,,5.13,0.81,,,,,,midlong_core,0.0,正常,2.44,標準
