date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer
2026-04-10,4919.TW,新唐,theme,91.6,1.78,-3.07,-9.31,3.27,10081206,17719733,0.57,93.15,73.55,64.51,-15.96,-1.66,5,0,NONE,開始轉強,還在觀察,
2026-04-13,4919.TW,新唐,theme,100.5,9.72,8.77,7.83,20.07,17960218,17661929,1.02,93.99,74.37,64.82,-7.8,6.93,11,0,TREND,進攻優勢區,中段延續中,
2026-04-14,4919.TW,新唐,theme,101.5,1.0,15.6,-0.98,21.12,12572359,17728987,0.71,94.87,75.17,65.15,-6.88,6.99,12,0,TREND,進攻優勢區,中段延續中,short_attack
