date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime
2026-04-10,2356.TW,英業達,theme,44.3,1.14,7.79,3.26,3.02,20192388,14994614,1.35,42.57,43.75,43.83,-13.48,4.06,10,0,NONE,進攻優勢區,還在觀察
2026-04-13,2356.TW,英業達,theme,44.55,0.56,9.06,3.73,3.73,12849565,14960584,0.86,42.65,43.76,43.82,-12.99,4.45,11,0,NONE,進攻優勢區,還在觀察
2026-04-14,2356.TW,英業達,theme,44.9,0.79,9.91,4.18,5.28,6210959,14677796,0.42,42.76,43.79,43.8,-12.3,4.99,11,0,NONE,進攻優勢區,還在觀察
