date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label
2026-04-10,6669.TW,緯穎,theme,3630.0,1.4,6.14,-3.46,-13.37,1199187,1527029,0.79,3659.25,3839.58,4028.71,-23.09,-0.8,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,,,
2026-04-13,6669.TW,緯穎,theme,3645.0,0.41,6.89,5.19,-10.77,1279296,1513403,0.85,3637.25,3824.67,4029.83,-22.78,0.21,7,0,PULLBACK,偏強可追蹤,高檔拉回整理,,,
2026-04-14,6669.TW,緯穎,theme,3755.0,3.02,10.6,10.6,-7.74,2010303,1557723,1.29,3621.5,3810.33,4032.5,-20.44,3.69,8,0,PULLBACK,進攻優勢區,高檔拉回整理,short_attack,,
2026-04-15,6669.TW,緯穎,theme,3720.0,-0.93,4.2,10.39,-7.12,1573098,1580435,1.0,3607.25,3794.5,4035.42,-21.19,3.13,5,0,PULLBACK,開始轉強,高檔拉回整理,short_attack,0.0,正常
2026-04-16,6669.TW,緯穎,theme,3700.0,-0.54,3.35,12.12,-6.68,1264724,1556258,0.81,3594.0,3778.67,4037.67,-21.61,2.95,4,0,PULLBACK,開始轉強,高檔拉回整理,short_attack,0.0,正常
2026-04-17,6669.TW,緯穎,theme,3845.0,3.92,5.92,12.43,0.52,1977028,1482666,1.33,3595.0,3772.08,4040.46,-18.54,6.95,7,0,ACCEL,偏強可追蹤,轉強速度有出來,short_attack,0.0,正常
