date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer
2026-04-10,2374.TW,佳能,theme,70.1,1.59,3.24,-2.77,-3.18,3631300,3184265,1.14,70.05,76.49,78.86,-25.56,0.06,4,0,PULLBACK,開始轉強,高檔拉回整理,
2026-04-13,2374.TW,佳能,theme,70.8,1.0,6.47,-2.34,-0.14,2798336,3177843,0.88,70.05,76.37,78.73,-24.81,1.07,8,0,PULLBACK,進攻優勢區,高檔拉回整理,
2026-04-14,2374.TW,佳能,theme,72.0,1.69,7.46,-0.28,1.98,5256863,3320259,1.58,70.12,76.24,78.6,-23.54,2.68,10,0,PULLBACK,進攻優勢區,高檔拉回整理,short_attack
