date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,0052.TW,富邦科技,etf,47.94,2.22,7.18,6.34,3.19,64798351,41943204,1.54,45.16,44.15,88.74,-81.65,6.17,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,,,,,
2026-04-13,0052.TW,富邦科技,etf,47.86,-0.17,9.22,6.59,4.84,33984849,41404868,0.82,45.27,44.27,87.08,-81.68,5.73,5,0,PULLBACK,開始轉強,高檔拉回整理,midlong_core,,,,
2026-04-14,0052.TW,富邦科技,etf,49.33,3.07,10.75,10.85,8.9,51374021,41928518,1.23,45.47,44.41,85.46,-81.11,8.49,6,1,"TREND,PULLBACK",偏強可追蹤,中段延續中,midlong_core,0.0,正常,,
2026-04-16,0052.TW,富邦科技,etf,50.4,2.17,7.35,15.44,11.58,12572843,40573473,0.31,45.73,44.57,83.82,-80.7,10.21,4,1,"TREND,PULLBACK",開始轉強,中段延續中,midlong_core,0.0,正常,,
2026-04-15,0052.TW,富邦科技,etf,50.2,1.76,6.92,14.98,11.14,44995587,42194610,1.07,45.72,44.56,83.82,-80.78,9.8,3,1,"TREND,PULLBACK",一般觀察,中段延續中,midlong_core,0.0,正常,,
2026-04-17,0052.TW,富邦科技,etf,50.05,-1.28,4.4,11.89,7.75,66727892,44636907,1.49,46.15,44.88,80.63,-80.84,8.45,3,1,PULLBACK,一般觀察,高檔拉回整理,midlong_core,0.0,正常,,
2026-04-20,0052.TW,富邦科技,etf,49.2,0.71,5.32,15.03,10.69,52854905,45372781,1.16,45.28,43.96,77.11,-80.7,8.65,3,1,"TREND,PULLBACK",一般觀察,中段延續中,midlong_core,0.0,正常,,
2026-04-22,0052.TW,富邦科技,etf,50.25,0.62,2.56,9.66,16.74,40560425,44498668,0.91,45.93,44.29,73.87,-80.29,9.4,4,1,"TREND,PULLBACK",開始轉強,中段延續中,midlong_core,0.0,正常,2.03,標準
2026-04-21,0052.TW,富邦科技,etf,49.94,1.5,3.72,14.88,13.05,34781556,45670114,0.76,45.57,44.13,75.47,-80.41,9.59,4,1,"TREND,PULLBACK",開始轉強,中段延續中,midlong_core,0.0,正常,2.1,標準
