date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,2308.TW,台達電,core,1735.0,5.47,17.63,11.94,23.93,10973678,11335767,0.97,1484.0,1298.5,1133.35,0.0,16.91,8,3,TREND,進攻優勢區,中段延續中,,,,,
2026-04-13,2308.TW,台達電,core,1740.0,0.29,21.68,14.85,27.01,6680545,11301369,0.59,1502.5,1310.67,1139.62,0.0,15.81,8,5,TREND,進攻優勢區,中段延續中,,,,,
2026-04-14,2308.TW,台達電,core,1750.0,0.57,15.51,15.89,26.35,9707370,11413686,0.85,1520.75,1322.33,1146.03,0.0,15.07,8,3,TREND,進攻優勢區,中段延續中,midlong_core,,,,
2026-04-15,2308.TW,台達電,core,1785.0,2.0,7.21,20.2,31.25,9811750,11607801,0.85,1542.0,1334.92,1152.58,0.0,15.76,7,5,TREND,偏強可追蹤,中段延續中,midlong_core,3.0,投機偏高,,
2026-04-16,2308.TW,台達電,core,1845.0,3.36,12.16,33.7,28.12,9212364,11442630,0.81,1562.25,1348.83,1159.38,0.0,18.1,8,3,TREND,進攻優勢區,中段延續中,midlong_core,0.0,正常,,
2026-04-17,2308.TW,台達電,core,1840.0,-0.27,6.05,24.75,25.6,8436351,11329611,0.74,1581.0,1362.58,1166.44,-0.27,16.38,7,3,TREND,偏強可追蹤,中段延續中,midlong_core,0.0,正常,,
2026-04-20,2308.TW,台達電,core,1900.0,3.26,9.2,32.87,30.58,9692483,11415200,0.85,1603.25,1376.67,1173.82,0.0,18.51,8,5,TREND,進攻優勢區,中段延續中,midlong_core,3.0,投機偏高,,
2026-04-21,2308.TW,台達電,core,2015.0,6.05,15.14,33.0,36.61,8888821,11103964,0.8,1630.25,1393.08,1182.07,0.0,23.6,8,5,TREND,進攻優勢區,中段延續中,midlong_core,5.0,投機偏高,,
2026-04-22,2308.TW,台達電,core,2015.0,0.0,12.89,21.02,42.91,10646904,10991884,0.97,1660.5,1409.0,1190.53,0.0,21.35,8,5,TREND,進攻優勢區,中段延續中,midlong_core,3.0,投機偏高,4.45,活潑
