date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime
2026-04-10,5274.TWO,信驊,satellite,12580.0,0.12,11.18,9.39,25.11,398281,287755,1.38,11494.25,9764.08,7963.17,-0.28,9.45,9,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來
2026-04-13,5274.TWO,信驊,satellite,12180.0,-3.18,4.19,5.45,16.06,195105,283642,0.69,11578.5,9848.67,8018.83,-3.45,5.19,7,1,TREND,偏強可追蹤,中段延續中
2026-04-14,5274.TWO,信驊,satellite,12570.0,3.2,9.59,8.78,19.77,50118,272442,0.18,11682.25,9938.17,8076.58,-0.36,7.6,9,1,TREND,進攻優勢區,中段延續中
